visit_id,visited_at,time_slot,booth,category,grade,spent_won,wait_min,satisfaction
V000001,2026-09-18 10:06:00,10:00,떡볶이 가게,음식,3,3000,2,4.3
V000002,2026-09-18 16:34:00,16:00,사진 부스,체험,1,0,8,4.2
V000003,2026-09-18 16:33:00,16:00,방탈출 게임,게임,3,1000,8,4.9
V000004,2026-09-18 12:09:00,12:00,방탈출 게임,게임,3,1000,14,4.1
V000005,2026-09-18 16:15:00,16:00,사진 부스,체험,3,2000,4,4.7
V000006,2026-09-18 11:36:00,11:00,캘리그라피 체험,체험,3,1500,3,5.0
V000007,2026-09-18 15:08:00,15:00,슬러시 카페,음식,3,2000,3,4.9
V000008,2026-09-18 10:08:00,10:00,사진 부스,체험,1,0,3,4.8
V000009,2026-09-18 12:36:00,12:00,떡볶이 가게,음식,1,0,6,5.0
V000010,2026-09-18 16:30:00,16:00,떡볶이 가게,음식,3,3000,7,4.5
V000011,2026-09-18 15:08:00,15:00,떡볶이 가게,음식,2,3000,9,4.2
V000012,2026-09-18 14:25:00,14:00,캘리그라피 체험,체험,2,1500,4,4.4
V000013,2026-09-18 11:21:00,11:00,사진 부스,체험,1,0,3,4.6
V000014,2026-09-18 12:36:00,12:00,다트 챌린지,게임,3,1000,5,5.0
V000015,2026-09-18 15:02:00,15:00,다트 챌린지,게임,2,1000,4,4.8
V000016,2026-09-18 15:09:00,15:00,다트 챌린지,게임,1,1000,0,4.8
V000017,2026-09-18 11:01:00,11:00,다트 챌린지,게임,3,0,5,4.5
V000018,2026-09-18 15:54:00,15:00,방탈출 게임,게임,1,1000,9,4.6
V000019,2026-09-18 16:54:00,16:00,사진 부스,체험,2,2000,7,4.1
V000020,2026-09-18 10:32:00,10:00,방탈출 게임,게임,1,1000,13,4.1
V000021,2026-09-18 14:55:00,14:00,슬러시 카페,음식,3,2000,6,4.9
V000022,2026-09-18 15:57:00,15:00,슬러시 카페,음식,1,2000,6,4.7
V000023,2026-09-18 12:17:00,12:00,슬러시 카페,음식,2,2000,6,4.2
V000024,2026-09-18 13:23:00,13:00,떡볶이 가게,음식,2,3000,15,4.5
V000025,2026-09-18 14:03:00,14:00,방탈출 게임,게임,3,1000,16,4.2
V000026,2026-09-18 15:09:00,15:00,방탈출 게임,게임,3,1000,12,4.8
V000027,2026-09-18 13:50:00,13:00,방탈출 게임,게임,3,0,20,3.6
V000028,2026-09-18 16:50:00,16:00,슬러시 카페,음식,3,2000,2,5.0
V000029,2026-09-18 14:34:00,14:00,슬러시 카페,음식,1,2000,5,4.8
V000030,2026-09-18 15:20:00,15:00,떡볶이 가게,음식,3,0,7,4.5
V000031,2026-09-18 13:09:00,13:00,슬러시 카페,음식,3,2000,6,4.8
V000032,2026-09-18 13:14:00,13:00,방탈출 게임,게임,3,1000,16,3.9
V000033,2026-09-18 10:44:00,10:00,떡볶이 가게,음식,1,3000,5,4.4
V000034,2026-09-18 12:22:00,12:00,방탈출 게임,게임,3,0,14,4.3
V000035,2026-09-18 12:16:00,12:00,방탈출 게임,게임,2,1000,15,4.5
V000036,2026-09-18 12:17:00,12:00,슬러시 카페,음식,2,2000,10,4.7
V000037,2026-09-18 10:29:00,10:00,사진 부스,체험,1,2000,6,4.3
V000038,2026-09-18 16:05:00,16:00,사진 부스,체험,1,2000,7,4.6
V000039,2026-09-18 15:34:00,15:00,떡볶이 가게,음식,2,3000,7,4.1
V000040,2026-09-18 13:34:00,13:00,다트 챌린지,게임,2,1000,4,5.0
V000041,2026-09-18 16:28:00,16:00,방탈출 게임,게임,2,1000,6,4.6
V000042,2026-09-18 13:31:00,13:00,떡볶이 가게,음식,3,3000,12,4.2
V000043,2026-09-18 16:33:00,16:00,다트 챌린지,게임,1,1000,0,4.6
V000044,2026-09-18 12:05:00,12:00,캘리그라피 체험,체험,1,1500,4,4.5
V000045,2026-09-18 15:03:00,15:00,슬러시 카페,음식,2,2000,6,4.9
V000046,2026-09-18 10:25:00,10:00,캘리그라피 체험,체험,2,1500,6,4.9
V000047,2026-09-18 13:30:00,13:00,다트 챌린지,게임,3,0,2,5.0
V000048,2026-09-18 14:56:00,14:00,다트 챌린지,게임,3,1000,5,4.5
V000049,2026-09-18 11:38:00,11:00,방탈출 게임,게임,2,1000,11,4.4
V000050,2026-09-18 16:26:00,16:00,슬러시 카페,음식,2,2000,0,4.8
V000051,2026-09-18 13:32:00,13:00,떡볶이 가게,음식,1,3000,12,4.8
V000052,2026-09-18 16:53:00,16:00,떡볶이 가게,음식,2,3000,6,4.5
V000053,2026-09-18 16:35:00,16:00,슬러시 카페,음식,3,2000,6,4.7
V000054,2026-09-18 13:18:00,13:00,슬러시 카페,음식,2,2000,7,4.9
