date,visitors,borrowed_books
2026-03-02,24,8
2026-03-03,27,9
2026-03-04,26,10
2026-03-05,29,11
2026-03-06,33,18
2026-03-09,25,9
2026-03-10,28,10
2026-03-11,27,9
2026-03-12,31,12
2026-03-13,34,19
2026-03-16,24,8
2026-03-17,29,10
2026-03-18,27,11
2026-03-19,30,12
2026-03-20,35,18
2026-03-23,26,9
2026-03-24,29,11
2026-03-25,28,10
2026-03-26,32,13
2026-03-27,35,20
2026-03-30,27,10
2026-03-31,31,11
2026-04-01,29,12
2026-04-02,33,13
2026-04-03,37,20
2026-04-06,27,9
2026-04-07,30,12
2026-04-08,31,11
2026-04-09,34,14
2026-04-10,37,21
2026-04-13,28,10
2026-04-14,32,12
2026-04-15,31,13
2026-04-16,35,14
2026-04-17,38,20
2026-04-20,29,11
2026-04-21,33,13
2026-04-22,32,12
2026-04-23,35,15
2026-04-24,39,22
2026-04-27,29,10
2026-04-28,33,13
2026-04-29,34,14
2026-04-30,36,15
2026-05-01,40,22
2026-05-04,31,11
2026-05-05,34,14
2026-05-06,33,13
2026-05-07,37,16
2026-05-08,41,23
2026-05-11,31,12
2026-05-12,35,14
2026-05-13,34,15
2026-05-14,38,16
2026-05-15,42,23
2026-05-18,32,12
2026-05-19,35,15
2026-05-20,36,14
2026-05-21,39,17
2026-05-22,43,24
